id,question,option_a,option_b,option_c,option_d,correct_answer,subject,exam_type
1,"The process by which plants make food using sunlight is called?","Photosynthesis","Respiration","Transpiration","Digestion","Photosynthesis","Biology","NEET"
2,"Which organelle is known as the powerhouse of the cell?","Nucleus","Mitochondria","Ribosome","Golgi body","Mitochondria","Biology","NEET"
3,"DNA stands for?","Deoxyribonucleic acid","Diribonucleic acid","Deoxyribose acid","Dioxy nucleic acid","Deoxyribonucleic acid","Biology","NEET"
4,"Which blood group is the universal donor?","A","B","AB","O","O","Biology","NEET"
5,"The pH of human blood is approximately?","6.8","7.0","7.4","8.0","7.4","Chemistry","NEET"
6,"Insulin is produced by which organ?","Liver","Kidney","Pancreas","Spleen","Pancreas","Biology","NEET"
7,"What is the atomic number of Carbon?","4","6","8","12","6","Chemistry","NEET"
8,"Which gas is used in photosynthesis?","Oxygen","Carbon dioxide","Nitrogen","Hydrogen","Carbon dioxide","Biology","NEET"
9,"The SI unit of force is?","Joule","Watt","Newton","Pascal","Newton","Physics","NEET"
10,"Which vitamin is produced by the human body upon exposure to sunlight?","Vitamin A","Vitamin B","Vitamin C","Vitamin D","Vitamin D","Biology","NEET"
